timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,tcp_flags,inter_arrival_time,pps,port_diversity,flow_duration
1765549944.5531685,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.0,0.2,1,0.0
1765549944.5776615,34.202.80.9,192.168.0.3,443,52687,6,66,SA,0.0,0.2,1,0.0
1765549944.5776615,34.202.80.9,192.168.0.3,443,49222,6,66,SA,0.0,0.4,2,0.0
1765549944.5776615,192.168.0.3,34.202.80.9,52687,443,6,54,A,0.024492979049682617,0.4,1,0.024492979049682617
1765549944.5776615,192.168.0.3,34.202.80.9,49222,443,6,54,A,0.0,0.6,1,0.024492979049682617
1765549944.5862436,192.168.0.3,34.202.80.9,52687,443,6,1393,A,0.008582115173339844,0.8,1,0.03307509422302246
1765549944.5862436,192.168.0.3,34.202.80.9,52687,443,6,643,PA,0.0,1.0,1,0.03307509422302246
1765549944.5862436,192.168.0.3,34.202.80.9,49222,443,6,1393,A,0.0,1.2,1,0.03307509422302246
1765549944.5862436,192.168.0.3,34.202.80.9,49222,443,6,611,PA,0.0,1.4,1,0.03307509422302246
1765549944.767527,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.18128347396850586,1.6,1,0.21435856819152832
1765549944.767527,34.233.49.149,192.168.0.3,443,53686,6,66,A,0.0,0.2,1,0.0
1765549944.8089795,34.202.80.9,192.168.0.3,443,49222,6,54,A,0.23131799697875977,0.6,2,0.23131799697875977
1765549944.866365,34.202.80.9,192.168.0.3,443,49222,6,54,A,0.05738544464111328,0.8,2,0.28870344161987305
1765549944.8744202,34.202.80.9,192.168.0.3,443,49222,6,1393,A,0.00805521011352539,1.0,2,0.29675865173339844
1765549944.8825085,34.202.80.9,192.168.0.3,443,49222,6,2732,A,0.008088350296020508,1.2,2,0.30484700202941895
1765549944.8825085,34.202.80.9,192.168.0.3,443,49222,6,343,PA,0.0,1.4,2,0.30484700202941895
1765549944.8825085,34.202.80.9,192.168.0.3,443,52687,6,54,A,0.0,1.6,2,0.30484700202941895
1765549944.8825085,34.202.80.9,192.168.0.3,443,52687,6,54,A,0.0,1.8,2,0.30484700202941895
1765549944.9818764,34.202.80.9,192.168.0.3,443,52687,6,2732,A,0.09936785697937012,2.0,2,0.40421485900878906
1765549944.9818764,192.168.0.3,34.202.80.9,49222,443,6,54,A,0.21434926986694336,1.8,1,0.4287078380584717
1765549944.9818764,192.168.0.3,34.202.80.9,52687,443,6,54,A,0.0,2.0,1,0.4287078380584717
1765549944.9818764,34.202.80.9,192.168.0.3,443,52687,6,1393,A,0.0,2.2,2,0.40421485900878906
1765549944.9818764,34.202.80.9,192.168.0.3,443,52687,6,343,PA,0.0,2.4,2,0.40421485900878906
1765549944.9818764,192.168.0.3,34.202.80.9,52687,443,6,54,A,0.0,2.2,1,0.4287078380584717
1765549944.9818764,192.168.0.3,34.202.80.9,49222,443,6,180,PA,0.0,2.4,1,0.4287078380584717
1765549944.9818764,192.168.0.3,34.202.80.9,52687,443,6,180,PA,0.0,2.6,1,0.4287078380584717
1765549944.9818764,192.168.0.3,34.202.80.9,52687,443,6,54,FA,0.0,2.8,1,0.4287078380584717
1765549944.9818764,192.168.0.3,34.202.80.9,49222,443,6,153,PA,0.0,3.0,1,0.4287078380584717
1765549944.9902406,192.168.0.3,34.202.80.9,49222,443,6,551,PA,0.008364200592041016,3.2,1,0.4370720386505127
1765549944.9902406,192.168.0.3,34.202.80.9,49222,443,6,1393,A,0.0,3.4,1,0.4370720386505127
1765549944.9902406,192.168.0.3,34.202.80.9,49222,443,6,1393,A,0.0,3.6,1,0.4370720386505127
1765549944.9902406,192.168.0.3,34.202.80.9,49222,443,6,1126,PA,0.0,3.8,1,0.4370720386505127
1765549944.9902406,3.248.75.199,192.168.0.3,443,55016,6,66,A,0.0,0.2,1,0.0
1765549945.1841218,34.202.80.9,192.168.0.3,443,49222,6,54,A,0.20224547386169434,2.6,2,0.6064603328704834
1765549945.1841218,34.202.80.9,192.168.0.3,443,49222,6,258,PA,0.0,2.8,2,0.6064603328704834
1765549945.1865556,34.202.80.9,192.168.0.3,443,49222,6,132,PA,0.00243377685546875,3.0,2,0.6088941097259521
1765549945.1865556,34.202.80.9,192.168.0.3,443,49222,6,54,A,0.0,3.2,2,0.6088941097259521
1765549945.1865556,34.202.80.9,192.168.0.3,443,49222,6,219,PA,0.0,3.4,2,0.6088941097259521
1765549945.1865556,192.168.0.3,34.202.80.9,49222,443,6,54,A,0.19631505012512207,4.0,1,0.6333870887756348
1765549945.1885633,192.168.0.3,34.202.80.9,49222,443,6,92,PA,0.002007722854614258,4.2,1,0.635394811630249
1765549945.189568,34.202.80.9,192.168.0.3,443,49222,6,92,PA,0.003012418746948242,3.6,2,0.6119065284729004
1765549945.189568,34.202.80.9,192.168.0.3,443,52687,6,66,A,0.0,3.8,2,0.6119065284729004
1765549945.1925888,34.202.80.9,192.168.0.3,443,52687,6,54,A,0.003020763397216797,4.0,2,0.6149272918701172
1765549945.1925888,34.202.80.9,192.168.0.3,443,52687,6,258,PA,0.0,4.2,2,0.6149272918701172
1765549945.1925888,34.202.80.9,192.168.0.3,443,52687,6,85,PA,0.0,4.4,2,0.6149272918701172
1765549945.1925888,34.202.80.9,192.168.0.3,443,52687,6,54,FA,0.0,4.6,2,0.6149272918701172
1765549945.1925888,192.168.0.3,34.202.80.9,52687,443,6,54,RA,0.004025459289550781,4.4,1,0.6394202709197998
1765549945.231642,192.168.0.3,34.202.80.9,49222,443,6,54,A,0.03905320167541504,4.6,1,0.6784734725952148
1765549945.4864569,34.202.80.9,192.168.0.3,443,49222,6,54,A,0.2938680648803711,4.8,2,0.9087953567504883
1765549945.7910423,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.5594003200531006,4.8,1,1.2378737926483154
1765549945.9020114,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.11096906661987305,5.0,1,1.3488428592681885
1765549945.9953523,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2278251647949219,0.4,1,1.2278251647949219
1765549946.0288832,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.0386426448822021,0.4,1,1.0386426448822021
1765549947.003519,192.168.0.3,34.233.49.149,53686,443,6,55,A,1.1015076637268066,5.2,1,2.450350522994995
1765549947.0370188,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.033499717712402344,5.4,1,2.4838502407073975
1765549947.2239385,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1950552463531494,0.6,1,2.2336978912353516
1765549947.2239385,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.228586196899414,0.6,1,2.456411361694336
1765549947.8423822,54.80.219.230,192.168.0.3,443,65447,6,54,A,0.0,0.2,1,0.0
1765549947.8423822,192.168.0.3,54.80.219.230,65447,443,6,54,A,0.8053634166717529,5.6,1,3.2892136573791504
1765549948.1483967,54.199.107.1,192.168.0.3,443,64223,6,602,PA,0.0,0.2,1,0.0
1765549948.159393,192.168.0.3,54.199.107.1,64223,443,6,1393,A,0.31701087951660156,5.8,1,3.606224536895752
1765549948.160393,192.168.0.3,54.199.107.1,64223,443,6,522,PA,0.0009999275207519531,6.0,1,3.607224464416504
1765549948.235197,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.07480406761169434,6.2,1,3.6820285320281982
1765549948.2363272,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.0011301040649414062,6.4,1,3.6831586360931396
1765549948.2373765,192.168.0.3,52.146.136.38,60806,443,6,85,PA,0.0010492801666259766,6.6,1,3.6842079162597656
1765549948.4538558,52.146.136.38,192.168.0.3,443,60806,6,54,A,0.0,0.2,1,0.0
1765549948.4548476,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.2309091091156006,0.8,1,3.464607000350952
1765549948.4548476,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2309091091156006,0.8,1,3.6873204708099365
1765549948.6584988,54.199.107.1,192.168.0.3,443,64223,6,54,A,0.5101020336151123,0.4,1,0.5101020336151123
1765549949.4632285,192.168.0.3,34.233.49.149,53686,443,6,55,A,1.2258520126342773,6.8,1,4.910059928894043
1765549949.4642737,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.00104522705078125,7.0,1,4.911105155944824
1765549949.5985222,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.143674612045288,1.0,1,4.60828161239624
1765549949.684633,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.229785442352295,1.0,1,4.9171059131622314
1765549950.6033907,192.168.0.3,3.248.75.199,55016,443,6,55,A,1.1391170024871826,2.6,1,4.812348365783691
1765549950.6516962,192.168.0.3,20.215.74.200,60797,443,6,85,PA,0.048305511474609375,2.8,1,4.860653877258301
1765549950.6842806,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.032584428787231445,3.0,1,4.893238306045532
1765549950.8151686,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.216646432876587,1.0,1,4.786285400390625
1765549950.8184645,20.215.74.200,192.168.0.3,443,60797,6,54,A,0.0,0.2,1,0.0
1765549950.9045033,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2198703289031982,1.0,1,4.909151077270508
1765549951.8217106,192.168.0.3,3.248.75.199,55016,443,6,55,A,1.13742995262146,2.8,1,4.8181915283203125
1765549951.9177642,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.0960536003112793,3.0,1,4.914245128631592
1765549952.0305161,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.2153475284576416,1.0,1,4.806577682495117
1765549952.1387038,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2342004776000977,1.0,1,4.914765357971191
1765549952.1527574,20.215.74.200,192.168.0.3,443,60797,6,81,PA,1.3342928886413574,0.4,1,1.3342928886413574
1765549952.1934993,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.27573513984680176,2.8,1,4.351117134094238
1765549953.0392456,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.8457462787628174,2.8,1,4.879852533340454
1765549953.1475878,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.10834217071533203,3.0,1,4.988194704055786
1765549953.175472,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1449558734893799,1.0,1,4.7206244468688965
1765549953.3680186,20.215.74.200,192.168.0.3,443,60797,6,158,PA,1.2152612209320068,0.6,1,2.5495541095733643
1765549953.371273,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2325692176818848,1.0,1,4.916425466537476
1765549953.413856,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.266268253326416,2.2,1,3.950627565383911
1765549954.1900365,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.7761805057525635,2.4,1,4.726808071136475
1765549954.3754525,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.18541598320007324,2.6,1,4.912224054336548
1765549954.398367,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.2228949069976807,1.0,1,4.799844741821289
1765549954.5979197,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2266466617584229,1.0,1,4.9132866859436035
1765549954.904125,52.146.136.38,192.168.0.3,443,60806,6,81,PA,6.4502692222595215,0.2,1,0.0
1765549954.9498935,192.168.0.3,52.146.136.38,60806,443,6,54,A,0.5744409561157227,2.4,1,4.346502780914307
1765549955.3988154,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.44892191886901855,2.6,1,4.795424699783325
1765549955.6042926,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.20547723770141602,2.6,1,4.952596426010132
1765549955.6322312,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.2338643074035645,1.0,1,4.817062616348267
1765549955.8283236,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2304039001464844,1.0,1,4.92382025718689
1765549956.6363726,192.168.0.3,3.248.75.199,55016,443,6,55,A,1.0320799350738525,2.4,1,4.814661979675293
1765549956.8380566,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.20168399810791016,2.4,1,4.920292377471924
1765549956.8601587,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.2279274463653564,1.0,1,4.8296425342559814
1765549956.8696976,192.168.0.3,185.25.182.20,60827,27037,6,108,PA,0.03164100646972656,2.6,2,4.95193338394165
1765549957.0555758,185.25.182.20,192.168.0.3,27037,60827,6,54,A,0.0,0.2,1,0.0
1765549957.0570443,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2287206649780273,1.0,1,4.918340444564819
1765549957.864996,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.9952983856201172,2.4,2,4.825750350952148
1765549958.0638976,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.19890165328979492,2.4,2,4.916309833526611
1765549958.0823555,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.2221968173980713,1.0,1,4.906883478164673
1765549958.2843664,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2273221015930176,1.0,1,4.913093328475952
1765549958.2935872,185.60.218.53,192.168.0.3,5222,64071,6,284,PA,0.0,0.2,1,0.0
1765549958.3462644,192.168.0.3,185.60.218.53,64071,5222,6,54,A,0.2823667526245117,2.4,3,4.932408332824707
1765549958.4296458,192.168.0.3,185.60.218.53,64071,5222,6,128,PA,0.08338141441345215,2.4,3,4.239609241485596
1765549958.4946582,185.60.218.53,192.168.0.3,5222,64071,6,54,A,0.20107102394104004,0.4,1,0.20107102394104004
1765549959.0951638,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.665518045425415,2.6,3,4.905127286911011
1765549959.297119,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.20195508003234863,2.6,3,4.921666383743286
1765549959.33497,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.2526144981384277,1.0,1,4.93660306930542
1765549959.4181411,20.215.74.200,192.168.0.3,443,60797,6,4071,PA,6.050122499465942,0.2,1,0.0
1765549959.4181411,20.215.74.200,192.168.0.3,443,60797,6,155,PA,0.0,0.4,1,0.0
1765549959.4195714,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.1224524974822998,2.6,3,4.469677925109863
1765549959.4205742,20.215.74.200,192.168.0.3,443,60797,6,4071,PA,0.0024330615997314453,0.6,1,0.0024330615997314453
1765549959.4211533,20.215.74.200,192.168.0.3,443,60797,6,155,PA,0.0005791187286376953,0.8,1,0.0030121803283691406
1765549959.4211533,20.215.74.200,192.168.0.3,443,60797,6,1393,A,0.0,1.0,1,0.0030121803283691406
1765549959.4223785,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.002807140350341797,2.8,3,4.472485065460205
1765549959.4236708,20.215.74.200,192.168.0.3,443,60797,6,1393,PA,0.0025174617767333984,1.2,1,0.005529642105102539
1765549959.4236708,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0012922286987304688,3.0,3,4.4737772941589355
1765549959.5123098,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2279434204101562,1.0,1,4.9143900871276855
1765549959.517147,20.215.74.200,192.168.0.3,443,60797,6,8088,PA,0.0934762954711914,1.4,1,0.09900593757629395
1765549959.5181463,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.09447550773620605,3.2,3,4.568252801895142
1765549959.5181463,20.215.74.200,192.168.0.3,443,60797,6,1393,A,0.0009992122650146484,1.6,1,0.1000051498413086
1765549959.5191476,20.215.74.200,192.168.0.3,443,60797,6,399,PA,0.0010013580322265625,1.8,1,0.10100650787353516
1765549959.5201466,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0020003318786621094,3.4,3,4.570253133773804
1765549959.5211492,192.168.0.3,20.215.74.200,60797,443,6,461,PA,0.0010025501251220703,3.6,3,4.571255683898926
1765549959.7181532,20.215.74.200,192.168.0.3,443,60797,6,4071,PA,0.1990056037902832,2.0,1,0.30001211166381836
1765549959.7191534,20.215.74.200,192.168.0.3,443,60797,6,155,PA,0.0010001659393310547,2.2,1,0.3010122776031494
1765549959.7191534,20.215.74.200,192.168.0.3,443,60797,6,1393,A,0.0,2.4,1,0.3010122776031494
1765549959.720153,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.1990039348602295,3.8,3,4.770259618759155
1765549959.7211525,20.215.74.200,192.168.0.3,443,60797,6,2732,PA,0.0019991397857666016,2.6,1,0.303011417388916
1765549959.7229428,20.215.74.200,192.168.0.3,443,60797,6,155,PA,0.0017902851104736328,2.8,1,0.30480170249938965
1765549959.7239816,20.215.74.200,192.168.0.3,443,60797,6,17461,PA,0.0010387897491455078,3.0,1,0.30584049224853516
1765549959.7239816,20.215.74.200,192.168.0.3,443,60797,6,54,A,0.0,3.2,1,0.30584049224853516
1765549959.7239816,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0038285255432128906,4.0,3,4.774088144302368
1765549959.749609,192.168.0.3,20.215.74.200,60797,443,6,647,PA,0.02562737464904785,4.2,3,4.799715518951416
1765549959.825065,20.215.74.200,192.168.0.3,443,60797,6,1393,A,0.10108327865600586,3.4,1,0.406923770904541
1765549959.8260694,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.07646036148071289,4.4,3,4.876175880432129
1765549959.8260694,20.215.74.200,192.168.0.3,443,60797,6,5410,PA,0.0010044574737548828,3.6,1,0.4079282283782959
1765549959.8297305,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0036611557006835938,4.6,3,4.8798370361328125
1765549959.8297305,20.215.74.200,192.168.0.3,443,60797,6,1393,PA,0.0036611557006835938,3.8,1,0.4115893840789795
1765549959.8297305,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0,4.8,3,4.8798370361328125
